qid,lang,query,domain,rep,verdict,refusal_code,wall_ms,t_core_ms,mode
1102431,ta,ஏன் ரேச்சல் கார்சன் ஒரு கடமையை நிறைவேற்ற வேண்டும் என்று எழுதினார்,in,4,ANSWERED,,42.73,40.42,extractive
205107,ta,நேர்மை அல்லது நேர்மையின் வரையறை,in,4,ANSWERED,,39.98,37.73,extractive
300122,ta,ஃபிராங்க் கிஃபோர்டு எத்தனை பெண்களை திருமணம் செய்து கொண்டார்,in,4,ANSWERED,,43.72,41.39,extractive
233826,ta,கழுகு எவ்வளவு வேகமாக பயணிக்கிறது?,in,4,ANSWERED,,39.98,37.8,extractive
1090355,ta,ஸ்டப்ஹப் டோல் இலவச எண்,in,4,ANSWERED,,40.38,37.99,extractive
165349,ta,டெல்டா பெங்களூருக்கு செல்கிறதா?,in,4,ANSWERED,,42.82,40.5,extractive
260880,ta,கருவைக்கூடைகள் முதிர்ச்சியடைய எவ்வளவு காலம் ஆகும்,in,4,ANSWERED,,42.06,39.63,extractive
116898,ta,வரையறை நிர்ணயம் தன்னிச்சையாக,in,4,REFUSED,UNGROUNDED_ANSWER,41.77,39.59,
1060361,ta,பர்ட்டர் அமைப்பு என்றால் என்ன மற்றும் அதன் பிரச்சனைகள் என்ன?,in,4,ANSWERED,,45.3,43.0,extractive
1090353,ta,பருவநிலை வானிலை ஆய்வு,in,4,ANSWERED,,42.47,40.12,extractive
1102432,mr,कॉर्पोरेशन म्हणजे काय?,in,4,ANSWERED,,44.31,42.12,extractive
1102431,mr,रॅचेल कार्सनला काय करावे लागले असे लिहिले गेले का?,in,4,ANSWERED,,43.95,41.78,extractive
205107,mr,प्रामाणिकपणा किंवा सचोटीची व्याख्या,in,4,ANSWERED,,40.89,38.67,extractive
300122,mr,फ्रँक गिफर्डने किती स्त्रियांशी लग्न केले,in,4,ANSWERED,,50.69,47.69,extractive
233826,mr,गरुड किती वेगाने प्रवास करतो,in,4,ANSWERED,,47.37,44.64,extractive
1090355,mr,स्टबहब टोल फ्री नंबर,in,4,ANSWERED,,42.78,40.51,extractive
165349,mr,ते डेल्टा बंगलोरला जाते का?,in,4,REFUSED,OUT_OF_SCOPE,45.27,43.01,
260880,mr,कॅन्टालूप किती काळ परिपक्व होईल,in,4,ANSWERED,,43.4,41.23,extractive
116898,mr,व्याख्या मनमानीपणे,in,4,ANSWERED,,162.47,160.26,extractive
1060361,mr,बार्टर प्रणाली आणि तिच्या समस्या काय आहेत,in,4,ANSWERED,,45.05,42.97,extractive
1090353,mr,हवामानाचा अभ्यास,in,4,ANSWERED,,39.24,36.84,extractive
1102432,hi,कॉर्पोरेशन क्या है?,in,5,ANSWERED,,42.81,40.42,extractive
1102432,en,. what is a corporation?,in,5,ANSWERED,,44.1,41.53,extractive
1102431,hi,रेचल कार्सन ने क्यों एक दायित्व बर्दाश्त करने के लिए लिखा,in,5,ANSWERED,,48.67,46.22,extractive
1102431,en,why did rachel carson write an obligation to endure,in,5,ANSWERED,,64.36,61.28,extractive
205107,hi,ईमानदारी या सच्चाई की परिभाषा,in,5,ANSWERED,,51.03,48.68,extractive
205107,en,honesty or integrity definition,in,5,ANSWERED,,44.07,41.86,extractive
300122,hi,फ्रैंक गिफोर्ड ने कितनी महिलाओं से शादी की,in,5,ANSWERED,,43.48,41.09,extractive
300122,en,how many women did frank gifford marry,in,5,ANSWERED,,49.38,47.23,extractive
233826,hi,बाज़ कितनी तेजी से यात्रा करता है,in,5,ANSWERED,,43.62,41.42,extractive
233826,en,how fast does an eagle travel,in,5,ANSWERED,,43.88,41.37,extractive
1090355,hi,स्टबहब टोल फ्री नंबर,in,5,ANSWERED,,45.96,43.59,extractive
1090355,en,stubhub toll free number,in,5,ANSWERED,,47.86,45.4,extractive
165349,hi,क्या डेल्टा बैंगलोर के लिए उड़ान भरता है?,in,5,ANSWERED,,47.94,45.04,extractive
165349,en,does delta fly to bangalore,in,5,ANSWERED,,47.88,45.6,extractive
260880,hi,कैंटालूप को कितने समय तक परिपक्व होना है,in,5,ANSWERED,,42.69,40.3,extractive
260880,en,how long for cantaloupe to mature,in,5,ANSWERED,,62.84,60.23,extractive
116898,hi,परिभाषा मनमानी है,in,5,ANSWERED,,44.49,42.15,extractive
116898,en,defination arbitrary,in,5,ANSWERED,,47.91,45.22,extractive
1060361,hi,किन्ना पारस्परिक आदान-प्रदान होता है और इसकी समस्याएं क्या हैं,in,5,ANSWERED,,42.48,40.36,extractive
1060361,en,what is barter system and its problems,in,5,ANSWERED,,49.75,46.93,extractive
1090353,hi,जलवायु मौसम का अध्ययन,in,5,ANSWERED,,52.69,49.97,extractive
1090353,en,study of climate weather,in,5,ANSWERED,,48.28,45.72,extractive
1102432,bn,কর্পোরেশন কী?,in,5,ANSWERED,,41.3,38.67,extractive
1102431,bn,র‍্যাচেল কারসন কেন একটি বাধ্যবাধকতা সহ্য করার জন্য লিখেছিলেন,in,5,ANSWERED,,59.04,55.87,extractive
205107,bn,সততা বা সততার সংজ্ঞা,in,5,ANSWERED,,89.81,79.33,extractive
ood-0,en,what is the capital of India,out,0,REFUSED,OUT_OF_SCOPE,88.14,85.09,
ood-1,en,how do I bake a chocolate cake,out,0,REFUSED,OUT_OF_SCOPE,124.55,117.42,
ood-2,en,who won the football world cup final,out,0,REFUSED,OUT_OF_SCOPE,85.52,81.96,
ood-3,en,what is the boiling point of water,out,0,REFUSED,OUT_OF_SCOPE,95.86,92.3,
ood-4,en,best restaurants in Paris,out,0,REFUSED,OUT_OF_SCOPE,92.27,88.74,
ood-5,hi,भारत की राजधानी क्या है,out,0,REFUSED,OUT_OF_SCOPE,71.48,67.98,
ood-6,hi,चॉकलेट केक कैसे बनाते हैं,out,0,REFUSED,OUT_OF_SCOPE,112.11,109.11,
ood-7,hi,फुटबॉल विश्व कप किसने जीता,out,0,REFUSED,OUT_OF_SCOPE,121.0,118.35,
ood-8,bn,ভারতের রাজধানী কী,out,0,ANSWERED,,80.39,75.84,extractive
ood-9,bn,চকলেট কেক কীভাবে বানায়,out,0,ANSWERED,,57.15,54.19,extractive
ood-10,ta,இந்தியாவின் தலைநகர் எது,out,0,ANSWERED,,52.36,49.77,extractive
ood-11,ta,சாக்லேட் கேக் எப்படி செய்வது,out,0,ANSWERED,,52.77,50.32,extractive
ood-12,mr,भारताची राजधानी काय आहे,out,0,REFUSED,OUT_OF_SCOPE,52.61,49.58,
ood-13,mr,चॉकलेट केक कसा बनवायचा,out,0,REFUSED,OUT_OF_SCOPE,58.21,55.52,
ood-14,en,how to learn japanese quickly,out,0,REFUSED,OUT_OF_SCOPE,60.19,56.44,
ood-15,en,what causes earthquakes,out,0,REFUSED,OUT_OF_SCOPE,49.73,47.08,
ood-16,en,symptoms of vitamin d deficiency,out,0,REFUSED,OUT_OF_SCOPE,50.57,48.27,
ood-17,hi,स्टॉक मार्केट में निवेश कैसे करें,out,0,REFUSED,OUT_OF_SCOPE,55.02,52.38,
ood-18,bn,ভূমিকম্প কেন হয়,out,0,REFUSED,OUT_OF_SCOPE,54.13,50.82,
ood-19,ta,புகைப்படம் எடுப்பது எப்படி,out,0,ANSWERED,,69.27,64.37,extractive
